#{"t_start": 1761863674.2271237, "env_id": "None"}
r,l,t,winner,reason
1.0,25,5.132321,2,capture
1.0,22,5.168046,2,capture
1.0,31,5.217884,2,capture
1.0,19,5.247924,2,capture
1.0,20,5.279539,2,capture
1.0,16,5.304926,2,capture
1.0,26,5.348852,2,capture
1.0,27,5.392014,2,capture
1.0,16,5.417228,2,capture
1.0,17,5.444501,2,capture
1.0,33,5.497457,2,capture
1.0,20,5.529263,2,capture
1.0,28,5.573776,2,capture
1.0,32,5.625071,2,capture
1.0,22,5.660092,2,capture
-1.0,19,5.690205,1,block
1.0,19,5.720183,2,capture
1.0,13,5.740826,2,capture
1.0,40,5.805128,2,capture
1.0,24,5.843395,2,capture
1.0,30,5.891395,2,capture
1.0,25,5.931152,2,capture
1.0,21,5.964379,2,capture
1.0,24,6.002511,2,capture
1.0,15,6.02618,2,capture
1.0,27,6.069081,2,capture
1.0,31,6.118624,2,capture
1.0,20,6.150464,2,capture
1.0,26,6.191836,2,capture
1.0,18,6.220503,2,capture
1.0,30,6.268512,2,capture
1.0,24,6.306763,2,capture
1.0,26,6.348153,2,capture
1.0,21,6.381494,2,capture
1.0,29,6.427774,2,capture
1.0,19,6.458138,2,capture
1.0,31,6.507731,2,capture
1.0,25,6.547621,2,capture
1.0,27,6.590813,2,capture
1.0,25,6.630656,2,capture
1.0,22,6.665659,2,capture
1.0,27,6.708659,2,capture
1.0,27,6.75212,2,capture
1.0,21,6.785787,2,capture
1.0,24,6.824712,2,capture
1.0,22,6.859797,2,capture
1.0,24,6.898165,2,capture
1.0,41,6.964215,2,capture
1.0,19,6.994255,2,capture
1.0,22,7.029019,2,capture
1.0,23,7.065662,2,capture
1.0,29,7.112421,2,capture
1.0,16,7.13789,2,capture
1.0,18,7.166358,2,capture
1.0,29,7.212804,2,capture
1.0,22,7.24791,2,capture
1.0,19,7.278282,2,capture
1.0,33,7.331125,2,capture
1.0,26,7.37276,2,capture
1.0,24,7.411127,2,capture
1.0,16,7.436679,2,capture
1.0,24,7.475063,2,capture
1.0,17,7.501922,2,capture
1.0,32,7.553075,2,capture
1.0,17,7.579875,2,capture
1.0,30,7.627775,2,capture
1.0,35,7.68388,2,capture
1.0,18,7.712462,2,capture
1.0,9,7.726712,2,capture
1.0,16,7.752033,2,capture
1.0,24,7.790279,2,capture
1.0,23,7.826926,2,capture
1.0,22,7.861738,2,capture
1.0,30,7.909755,2,capture
1.0,28,7.954475,2,capture
1.0,30,8.004784,2,capture
1.0,24,8.04295,2,capture
1.0,21,8.076432,2,capture
1.0,24,8.114793,2,capture
1.0,28,8.159584,2,capture
1.0,26,8.20096,2,capture
1.0,21,8.23416,2,capture
1.0,33,8.287122,2,capture
1.0,15,8.310939,2,capture
1.0,36,9.545917,2,capture
1.0,29,9.592565,2,capture
1.0,15,9.616579,2,capture
1.0,26,9.658273,2,capture
1.0,16,9.683764,2,capture
1.0,15,9.707727,2,capture
1.0,14,9.730022,2,capture
1.0,25,9.772588,2,capture
1.0,17,9.799713,2,capture
1.0,35,9.856157,2,capture
1.0,22,9.891188,2,capture
1.0,31,9.940764,2,capture
1.0,33,9.993983,2,capture
1.0,16,10.019571,2,capture
1.0,30,10.067953,2,capture
1.0,14,10.090265,2,capture
1.0,34,10.145042,2,capture
1.0,21,10.178487,2,capture
1.0,23,10.215051,2,capture
1.0,29,10.261576,2,capture
1.0,22,10.29664,2,capture
1.0,25,10.336785,2,capture
1.0,31,10.386494,2,capture
1.0,24,10.424855,2,capture
1.0,28,10.469982,2,capture
1.0,30,10.521082,2,capture
1.0,17,10.548156,2,capture
1.0,34,10.602726,2,capture
1.0,20,10.634611,2,capture
1.0,29,10.681299,2,capture
1.0,33,10.734451,2,capture
1.0,21,10.767988,2,capture
1.0,26,10.810069,2,capture
1.0,33,10.864,2,capture
1.0,39,10.927044,2,capture
1.0,20,10.958919,2,capture
1.0,16,10.984376,2,capture
1.0,21,11.017819,2,capture
1.0,24,11.056116,2,capture
1.0,27,11.099559,2,capture
1.0,26,11.141117,2,capture
1.0,27,11.184547,2,capture
1.0,43,11.256183,2,capture
1.0,31,11.305998,2,capture
1.0,29,11.35243,2,capture
1.0,21,11.385792,2,capture
1.0,22,11.420792,2,capture
1.0,22,11.456051,2,capture
-1.0,19,11.486412,1,block
1.0,29,11.532972,2,capture
1.0,21,11.566599,2,capture
1.0,37,11.626334,2,capture
1.0,27,11.669805,2,capture
1.0,31,11.71967,2,capture
1.0,20,11.751585,2,capture
1.0,19,11.781824,2,capture
1.0,26,11.823635,2,capture
1.0,19,11.853868,2,capture
1.0,35,11.910297,2,capture
1.0,16,11.938071,2,capture
1.0,27,11.98137,2,capture
1.0,23,12.017979,2,capture
1.0,24,12.056437,2,capture
1.0,24,12.094992,2,capture
1.0,24,12.133436,2,capture
1.0,22,12.168797,2,capture
1.0,37,12.228459,2,capture
1.0,33,12.281336,2,capture
1.0,25,12.321285,2,capture
1.0,22,12.356805,2,capture
1.0,19,12.387287,2,capture
1.0,16,12.412806,2,capture
1.0,21,12.446403,2,capture
1.0,28,12.491316,2,capture
1.0,27,12.534634,2,capture
1.0,29,12.581087,2,capture
1.0,21,12.614475,2,capture
1.0,31,12.665119,2,capture
1.0,24,12.703538,2,capture
1.0,26,12.745272,2,capture
1.0,23,12.782088,2,capture
1.0,15,12.806123,2,capture
1.0,16,12.831614,2,capture
1.0,31,14.021132,2,capture
1.0,28,14.066193,2,capture
1.0,20,14.098176,2,capture
1.0,25,14.138372,2,capture
1.0,18,14.166945,2,capture
1.0,17,14.193996,2,capture
1.0,24,14.232489,2,capture
1.0,29,14.279745,2,capture
1.0,33,14.333168,2,capture
1.0,24,14.37183,2,capture
1.0,25,14.412035,2,capture
1.0,13,14.433748,2,capture
1.0,25,14.473728,2,capture
1.0,20,14.505429,2,capture
1.0,21,14.538929,2,capture
1.0,30,14.58693,2,capture
1.0,16,14.612359,2,capture
1.0,28,14.657126,2,capture
1.0,17,14.684237,2,capture
1.0,28,14.728976,2,capture
1.0,21,14.762401,2,capture
1.0,21,14.795848,2,capture
-1.0,19,14.826424,1,block
1.0,17,14.853633,2,capture
1.0,29,14.900154,2,capture
1.0,21,14.93488,2,capture
1.0,25,14.975009,2,capture
1.0,22,15.010042,2,capture
1.0,21,15.043588,2,capture
1.0,22,15.078711,2,capture
1.0,23,15.115473,2,capture
1.0,20,15.147385,2,capture
1.0,22,15.182344,2,capture
1.0,24,15.220833,2,capture
1.0,18,15.24997,2,capture
1.0,37,15.309448,2,capture
1.0,18,15.338049,2,capture
1.0,32,15.389475,2,capture
1.0,16,15.414833,2,capture
1.0,24,15.453625,2,capture
1.0,30,15.503521,2,capture
1.0,29,15.549898,2,capture
1.0,20,15.581551,2,capture
1.0,19,15.611914,2,capture
1.0,46,15.686595,2,capture
1.0,16,15.712022,2,capture
1.0,16,15.737403,2,capture
1.0,22,15.772426,2,capture
1.0,42,15.840921,2,capture
1.0,22,15.875938,2,capture
1.0,23,15.912856,2,capture
1.0,19,15.943164,2,capture
-1.0,19,15.973486,1,block
1.0,22,16.008674,2,capture
1.0,18,16.03744,2,capture
1.0,27,16.08077,2,capture
1.0,28,16.125856,2,capture
1.0,25,16.16578,2,capture
1.0,30,16.213777,2,capture
1.0,15,16.237634,2,capture
1.0,22,16.272631,2,capture
1.0,23,16.309471,2,capture
1.0,33,16.362435,2,capture
1.0,35,16.41912,2,capture
1.0,26,16.46085,2,capture
